학교명,위도,경도,구
서울공덕초등학교,37.54580335,126.9548231,마포구
서울진관초등학교,37.64543483,126.9292124,은평구
서울금양초등학교,37.54094231,126.9618319,용산구
서울양진초등학교,37.54457517,127.0983249,광진구
서울당중초등학교,37.52628923,126.8894135,영등포구
서울잠현초등학교,37.52258587,127.1047786,송파구
서울한서초등학교,37.55364783,126.9497788,마포구
서울남정초등학교,37.53567383,126.9648037,용산구
서울자양초등학교,37.53698825,127.0797396,광진구
동산초등학교,37.55620463,127.0167254,중구
서울누원초등학교,37.68723271,127.0492672,도봉구
서울신화초등학교,37.63319504,127.0408842,도봉구
서울이태원초등학교,37.53647771,126.9876727,용산구
서울동원초등학교,37.60457824,127.1044913,중랑구
숭의초등학교,37.55785308,126.9874816,중구
서울양강초등학교,37.52423449,126.8478515,양천구
서울안평초등학교,37.56596821,127.0720334,동대문구
서울계상초등학교,37.66219777,127.0686777,노원구
서울상신초등학교,37.59755372,126.9046049,은평구
서울발산초등학교,37.55026244,126.8309944,강서구
서울안산초등학교,37.57916901,126.9522097,서대문구
광운초등학교,37.61906522,127.0550771,성북구
서울등명초등학교,37.56089445,126.8423822,강서구
서울북한산초등학교,37.65363208,126.9504625,은평구
서울휘봉초등학교,37.58567641,127.0700416,동대문구
서울염동초등학교,37.55209548,126.872351,강서구
서울신가초등학교,37.5003628,127.1198778,송파구
서울서교초등학교,37.55488903,126.9243787,마포구
서울계남초등학교,37.51016776,126.8600159,양천구
서울목원초등학교,37.54291947,126.8824459,양천구
서울경수초등학교,37.54043667,127.0580668,성동구
서울덕수초등학교,37.56908888,126.9746579,중구
서울마장초등학교,37.56830949,127.042128,성동구
서울양남초등학교,37.53112324,127.0892343,광진구
경기초등학교,37.56511029,126.9628607,서대문구
서울우이초등학교,37.63865468,127.0148822,강북구
서울온수초등학교,37.49400506,126.8259667,구로구
한양초등학교,37.55762103,127.0502634,성동구
서울문현초등학교,37.48279092,127.1302223,송파구
동북초등학교,37.65634868,127.0268766,도봉구
서울덕암초등학교,37.6666212,127.0814598,노원구
서울홍연초등학교,37.58211871,126.9306605,서대문구
서울후암초등학교,37.55136541,126.9817243,용산구
서울강일초등학교,37.56525568,127.1772858,강동구
서울중마초등학교,37.56579084,127.0790239,광진구
서울강빛초등학교,37.57432025,127.1710463,강동구
서울영일초등학교,37.48564539,126.8838134,구로구
서울사근초등학교,37.562685,127.047545,성동구
서울삼양초등학교,37.62329558,127.0161491,강북구
서울서일초등학교,37.48529778,127.0221598,서초구
신광초등학교,37.54289988,126.9694475,용산구
서울화양초등학교,37.54422859,127.0715827,광진구
서울안암초등학교,37.5871587,127.0220989,성북구
서울길동초등학교,37.5385062,127.1449729,강동구
서울개운초등학교,37.60183902,127.0275962,성북구
서울송전초등학교,37.50881326,127.0951265,송파구
서울홍파초등학교,37.58622252,127.0395199,동대문구
서울대신초등학교,37.55795026,126.9480572,서대문구
