시군구명,시설명,상세주소,경도,위도
용산구,서빙고초등학교,서울특별시 용산구  서빙고로51길 14  (서빙고동),126.992403,37.522146
서대문구,명지대방목학술정보관,서울특별시 서대문구  거북골로 34  (남가좌동),126.921374,37.580354
성북구,경동고등학교(운동장),서울특별시 성북구 삼선동3가   43-1,127.01497,37.585744
양천구,영도초등학교 운동장,서울특별시 양천구 목동   744-4,126.871626,37.535702
강남구,청담중학교 ,서울특별시 강남구  압구정로61길 36  (청담동),127.045542,37.528518
노원구,공릉초등학교 운동장,서울특별시 노원구 공릉동   610-1,127.074624,37.619288
관악구,관악산 난곡공원,서울특별시 관악구 신림동   685-4,126.917127,37.46554
마포구,뒤뜰어린이공원,서울특별시 마포구 성산동   588-8,126.909384,37.56323
종로구,효제초등학교,서울특별시 종로구 효제동   255-4,127.002939,37.5728
관악구,서원어린이공원,서울특별시 관악구 신림동   409-26,126.933312,37.476775
용산구,두텁바위공원,서울특별시 용산구 동자동   37-17,126.973628,37.551186
성북구,삼선초등학교(운동장),서울특별시 성북구 삼선동3가   30-4,127.012502,37.586373
송파구,잠일고등학교 운동장,서울특별시 송파구 잠실동   19-2,127.082496,37.514409
구로구,고척고등학교,서울특별시 구로구  중앙로15길 162  (고척동),126.850947,37.488094
용산구,한강중학교,서울특별시 용산구  녹사평대로 73  (서빙고동),126.992345,37.523986
성북구,숭곡중학교,서울특별시 성북구  종암로 208  (하월곡동),127.031133,37.607947
양천구,목2동 마을쉼터,서울특별시 양천구 목동   910-0,126.871569,37.545337
구로구,신도림고등학교운동장,서울특별시 구로구 신도림동 270-2,126.882048,37.514242
동대문구,휘경초등학교,서울특별시 동대문구 휘경동   302-2,127.058193,37.58571
동작구,사당종합체육관,서울특별시 동작구 사당동   산21-9,126.969538,37.492666
도봉구,서울창림초등학교 운동장,서울특별시 도봉구 창동   411-8,127.041464,37.643183
은평구,덕산중학교 운동장,서울특별시 은평구 신사동   265-4,126.904317,37.60195
구로구,덕일전자공업고등학교  운동장,서울특별시 구로구 오류동   199-1,126.837291,37.490492
광진구,용마초등학교 운동장,서울특별시 광진구 중곡동   135-1,127.08424,37.558296
서대문구,금화초등학교,서울특별시 서대문구  통일로 165  (천연동),126.963188,37.568651
영등포구,문래공원,서울특별시 영등포구 문래동3가   66-0,126.894406,37.517668
광진구,중마초등학교 ,서울특별시 광진구 중곡동   191-69,127.079548,37.566112
성북구,안암초등학교(운동장),서울특별시 성북구 안암동2가   93-0,127.022556,37.587207
구로구,덕의초등학교,서울특별시 구로구  고척로 213  (고척동),126.856733,37.506217
영등포구,안양천 영롱이 인라인 마당,서울특별시 영등포구 문래동5가   31-0,126.880578,37.519182
마포구,개나리어린이공원,서울특별시 마포구 중동   40-5,126.90918,37.569919
도봉구,서울신화초등학교 운동장,서울특별시 도봉구 창동   504-33,127.041224,37.632459
구로구,구일고등학교운동장,서울특별시 구로구 구로동   685-194,126.874114,37.494683
서대문구,연북중학교,서울특별시 서대문구  연희로36길 32  (연희동),126.937728,37.577819
양천구,월촌중학교 운동장,서울특별시 양천구 목동   909-0,126.882725,37.537562
노원구,경기기계공업고등학교 운동장,서울특별시 노원구 하계동   78-0,127.074484,37.632467
용산구,청파어린이공원,서울특별시 용산구 서계동   226-3,126.968258,37.553529
종로구,낙산공원,서울특별시 종로구 동숭동   산2-10,127.006408,37.580771
동대문구,청량초등학교,서울특별시 동대문구  회기로25길 31  (회기동),127.055819,37.591984
관악구,미성초등학교 운동장,서울특별시 관악구 신림동   768-23,126.913295,37.477683
송파구,서울잠전초등학교 운동장,서울특별시 송파구 잠실동   229,127.084205,37.506774
용산구,보광동주민센터,서울특별시 용산구  장문로 95  (보광동),127.000112,37.526266
관악구,신성초등학교 운동장,서울특별시 관악구 신림동   117-4,126.936633,37.471587
강남구,경기고등학교,서울특별시 강남구  영동대로 643  (삼성동),127.056003,37.517425
구로구,오남중학교,서울특별시 구로구 오류동   산39-40,126.835131,37.489134
은평구,서울서신초등학교 운동장,서울특별시 은평구 신사동   194-0,126.907547,37.592482
관악구,구암초등학교,서울특별시 관악구 봉천동   823-1,126.947303,37.48989
동대문구,전동중학교,서울특별시 동대문구 휘경동   49-295,127.071144,37.585243
용산구,청파초등학교 운동장,서울특별시 용산구 청파동2가   1-42,126.964289,37.547632
양천구,파리공원,서울특별시 양천구 목동   906-0,126.877139,37.534436
노원구,혜성여자고등학교 운동장,서울특별시 노원구 하계동   산16-38,127.073227,37.641037
영등포구,문래중학교 운동장,서울특별시 영등포구 문래동6가   44-0,126.884184,37.520271
강남구,봉은초등학교 ,서울특별시 강남구  학동로 610  (삼성동),127.060791,37.520101
서대문구,인왕중학교 강당,서울특별시 서대문구  세검정로4길 69  (홍제동),126.952043,37.59278
