id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales
2169,37.62617868,127.0393672,380,199909,3.7,81,25,38080,54560,45600
38663,37.6552033,127.013763,81,201902,0,42,13,33600,53600,47200
3760,37.65480609,127.035144,264,198803,4.5,62,19,24000,45920,27200
1339,37.65602148,127.0321347,414,199105,4.4,87,26,40160,87840,44800
13985,37.62452863,127.0376491,32,200106,0,84,25,47680,51680,48800
1140,37.6573725,127.026575,978,199506,3.6,86,26,39680,49600,48800
12320,37.63058091,127.0444086,225,200603,4,77,23,43680,60160,56000
4341,37.65736674,127.0282368,71,199501,4,84,25,28000,45280,35200
143,37.65729809,127.028953,386,199112,4.2,85,26,36160,59040,48800
1341,37.65601379,127.0338527,408,199309,3.6,82,25,37440,52320,48800
1326,37.62637628,127.0411617,261,199211,4.3,100,30,48640,48640,48800
2962,37.65795515,127.0238625,658,199207,3.1,73,22,36480,48800,43200
1337,37.657038,127.0313237,1635,198811,3.8,38,11,20960,45120,31200
2947,37.65348572,127.0393771,808,199009,3.6,57,17,26400,43360,32800
2171,37.62395906,127.0380974,167,199808,3.8,79,24,51680,69760,58400
3872,37.65542347,127.0111421,260,200011,4.5,80,24,57120,64640,63200
4299,37.62967242,127.045201,154,199804,3.7,83,25,35680,60320,49600
2170,37.62747459,127.0436591,263,200002,3.9,82,25,35200,50400,39200
1053,37.6500962,127.04434,2856,199009,4,58,18,26400,52000,38400
644,37.65841172,127.0289035,498,198910,3.7,86,26,45440,52000,49600
2960,37.6588143,127.025261,318,199806,4.5,78,24,39520,52320,44800
14962,37.62920737,127.0455497,75,198812,0,71,21,23200,34400,27200
743,37.65910847,127.0235184,660,199209,3.6,88,27,44480,78720,56800
1043,37.65273509,127.0423004,750,199007,4.1,52,16,23520,36320,28800
554,37.6572441,127.035182,1541,198812,3.5,55,17,20640,55840,36800
4343,37.6585625,127.0312019,783,199010,3.9,56,17,23360,48800,43200
2172,37.62582776,127.0431869,285,200006,3.9,82,25,36960,51040,44000
51413,37.6197952,127.033205,203,202204,0,0,0,NaN,NaN,NaN
